dc_class,dcca_eng,NTorDC,dcca_class,pls_same,pls_diff_hk,pls_diff_kln,pls_diff_nt,pls_diff_oth,plw_same,plw_diff_hk,plw_diff_kln,plw_diff_nt,plw_diff_oth
R,Sha Tin - Ma On Shan Town Centre,1,R28,893,292,568,1019,24,363,1583,2488,2083,371
R,Sha Tin - Wu Kai Sha,1,R29,1016,288,1047,1778,133,252,2234,3689,2542,468
R,Sha Tin - Lee On,1,R30,864,132,313,934,26,628,748,1967,2027,309
R,Sha Tin - Fu Lung,1,R31,790,67,340,701,9,376,1170,2623,2051,201
R,Sha Tin - Kam Ying,1,R32,973,153,456,696,22,438,1417,2489,2607,224
R,Sha Tin - Yiu On,1,R33,693,25,218,350,31,598,914,1591,2245,409
R,Sha Tin - Heng On,1,R34,1438,87,234,326,32,704,1171,1704,2409,209
R,Sha Tin - Tai Shui Hang,1,R35,1020,79,316,904,15,691,1177,2154,2606,202
R,Sha Tin - On Tai,1,R36,789,122,311,781,11,191,1060,2006,1586,161
R,Sha Tin - Yu Yan,1,R37,2355,151,662,353,18,1656,1545,2571,1213,170
R,Sha Tin - Di Yee,2,R38,2165,117,580,1173,39,928,1032,2082,1183,221
R,Sha Tin - Bik Woo,2,R39,1894,222,611,479,23,1325,1453,2073,1410,185
R,Sha Tin - Kwong Hong,2,R40,1366,66,193,205,60,835,991,1482,722,432
R,Sha Tin - Kwong Yuen,2,R41,800,53,209,124,-,1227,760,1201,719,98
S,Kwai Tsing - Kwai Hing,7,S01,1007,85,280,263,10,987,847,1189,874,431
S,Kwai Tsing - Kwai Luen,7,S02,1523,85,550,380,24,1118,729,1342,1078,190
S,Kwai Tsing - Kwai Shing East Estate,7,S03,1127,60,270,449,-,1401,888,1532,1221,375
S,Kwai Tsing - Upper Tai Wo Hau,7,S04,1324,112,440,503,63,903,700,1357,1341,305
S,Kwai Tsing - Lower Tai Wo Hau,7,S05,999,193,398,419,39,664,406,1078,1446,266
S,Kwai Tsing - Kwai Chung Estate South,7,S06,1416,148,557,991,83,2240,1083,1754,2508,448
S,Kwai Tsing - Kwai Chung Estate North,7,S07,1641,331,900,671,11,1292,843,1600,1638,430
